ア、,2,2,9000,フィラー,*,*,*,*,*,ア、,ア,ア
アー、,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
アー…,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
イ、,2,2,9000,フィラー,*,*,*,*,*,イ、,イ,イ
ウ、,2,2,9000,フィラー,*,*,*,*,*,ウ、,ウ,ウ
ウェー,2,2,16000,フィラー,*,*,*,*,*,ウェー、,ウェー,ウェー
エー、,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エー…,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エート、,2,2,9000,フィラー,*,*,*,*,*,エート、,エート,エート
エート,2,2,15000,フィラー,*,*,*,*,*,エート、,エート,エート
オ、,2,2,9000,フィラー,*,*,*,*,*,オ、,オ,オ
グ、,2,2,9000,フィラー,*,*,*,*,*,グ、,グ,グ
ス、,2,2,9000,フィラー,*,*,*,*,*,ス、,ス,ス
ニ、,2,2,9000,フィラー,*,*,*,*,*,ニ、,ニ,ニ
ハ、,2,2,9000,フィラー,*,*,*,*,*,ハ、,ハ,ハ
バ、,2,2,9000,フィラー,*,*,*,*,*,バ、,バ,バ
ヨ、,2,2,9000,フィラー,*,*,*,*,*,ヨ、,ヨ,ヨ
アバ、,2,2,9000,フィラー,*,*,*,*,*,アバ、,アバ,アバ
ズラかろ,778,778,9279,動詞,自立,*,*,五段・ラ行,未然ウ接続,ズラかる,ズラカロ,ズラカロ
ズラかり,788,788,9279,動詞,自立,*,*,五段・ラ行,連用形,ズラかる,ズラカリ,ズラカリ
ズラかっ,786,786,9279,動詞,自立,*,*,五段・ラ行,連用タ接続,ズラかる,ズラカッ,ズラカッ
ズラかれ,768,768,9279,動詞,自立,*,*,五段・ラ行,仮定形,ズラかる,ズラカレ,ズラカレ
ズラかれ,784,784,9279,動詞,自立,*,*,五段・ラ行,命令ｅ,ズラかる,ズラカレ,ズラカレ
ズラかりゃ,770,770,9279,動詞,自立,*,*,五段・ラ行,仮定縮約１,ズラかる,ズラカリャ,ズラカリャ
ズラかん,774,774,9279,動詞,自立,*,*,五段・ラ行,体言接続特殊,ズラかる,ズラカン,ズラカン
ズラか,776,776,9279,動詞,自立,*,*,五段・ラ行,体言接続特殊２,ズラかる,ズラカ,ズラカ
ズラす,731,731,9306,動詞,自立,*,*,五段・サ行,基本形,ズラす,ズラス,ズラス
ズラさ,733,733,9312,動詞,自立,*,*,五段・サ行,未然形,ズラす,ズラサ,ズラサ
ズラそ,732,732,9306,動詞,自立,*,*,五段・サ行,未然ウ接続,ズラす,ズラソ,ズラソ
ズラし,735,735,9337,動詞,自立,*,*,五段・サ行,連用形,ズラす,ズラシ,ズラシ
ズラせ,729,729,9306,動詞,自立,*,*,五段・サ行,仮定形,ズラす,ズラセ,ズラセ
ズラせ,734,734,9306,動詞,自立,*,*,五段・サ行,命令ｅ,ズラす,ズラセ,ズラセ
ズラしゃ,730,730,9306,動詞,自立,*,*,五段・サ行,仮定縮約１,ズラす,ズラシャ,ズラシャ
ガタつく,679,679,9279,動詞,自立,*,*,五段・カ行イ音便,基本形,ガタつく,ガタツク,ガタツク
ガタつか,683,683,9279,動詞,自立,*,*,五段・カ行イ音便,未然形,ガタつく,ガタツカ,ガタツカ
ガタつこ,681,681,9279,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,ガタつく,ガタツコ,ガタツコ
ガタつき,689,689,9279,動詞,自立,*,*,五段・カ行イ音便,連用形,ガタつく,ガタツキ,ガタツキ
ガタつい,687,687,9279,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ガタつく,ガタツイ,ガタツイ
ガタつけ,675,675,9279,動詞,自立,*,*,五段・カ行イ音便,仮定形,ガタつく,ガタツケ,ガタツケ
ガタつけ,685,685,9279,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,ガタつく,ガタツケ,ガタツケ
ガタつきゃ,677,677,9279,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,ガタつく,ガタツキャ,ガタツキャ
ギラつく,679,679,9279,動詞,自立,*,*,五段・カ行イ音便,基本形,ギラつく,ギラツク,ギラツク
ギラつか,683,683,9279,動詞,自立,*,*,五段・カ行イ音便,未然形,ギラつく,ギラツカ,ギラツカ
ギラつこ,681,681,9279,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,ギラつく,ギラツコ,ギラツコ
ギラつき,689,689,9279,動詞,自立,*,*,五段・カ行イ音便,連用形,ギラつく,ギラツキ,ギラツキ
ギラつい,687,687,9279,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ギラつく,ギラツイ,ギラツイ
ギラつけ,675,675,9279,動詞,自立,*,*,五段・カ行イ音便,仮定形,ギラつく,ギラツケ,ギラツケ
ギラつけ,685,685,9279,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,ギラつく,ギラツケ,ギラツケ
ギラつきゃ,677,677,9279,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,ギラつく,ギラツキャ,ギラツキャ
ゴタつく,679,679,9279,動詞,自立,*,*,五段・カ行イ音便,基本形,ゴタつく,ゴタツク,ゴタツク
ゴタつか,683,683,9279,動詞,自立,*,*,五段・カ行イ音便,未然形,ゴタつく,ゴタツカ,ゴタツカ
ゴタつこ,681,681,9279,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,ゴタつく,ゴタツコ,ゴタツコ
ゴタつき,689,689,9279,動詞,自立,*,*,五段・カ行イ音便,連用形,ゴタつく,ゴタツキ,ゴタツキ
ゴタつい,687,687,9279,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ゴタつく,ゴタツイ,ゴタツイ
ゴタつけ,675,675,9279,動詞,自立,*,*,五段・カ行イ音便,仮定形,ゴタつく,ゴタツケ,ゴタツケ
ゴタつけ,685,685,9279,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,ゴタつく,ゴタツケ,ゴタツケ
ゴタつきゃ,677,677,9279,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,ゴタつく,ゴタツキャ,ゴタツキャ
ザラつく,679,679,9279,動詞,自立,*,*,五段・カ行イ音便,基本形,ザラつく,ザラツク,ザラツク
ザラつか,683,683,9279,動詞,自立,*,*,五段・カ行イ音便,未然形,ザラつく,ザラツカ,ザラツカ
ザラつこ,681,681,9279,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,ザラつく,ザラツコ,ザラツコ
ザラつき,689,689,9279,動詞,自立,*,*,五段・カ行イ音便,連用形,ザラつく,ザラツキ,ザラツキ
ザラつい,687,687,9279,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ザラつく,ザラツイ,ザラツイ
ザラつけ,675,675,9279,動詞,自立,*,*,五段・カ行イ音便,仮定形,ザラつく,ザラツケ,ザラツケ
ザラつけ,685,685,9279,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,ザラつく,ザラツケ,ザラツケ
ザラつきゃ,677,677,9279,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,ザラつく,ザラツキャ,ザラツキャ
ザワつく,679,679,9279,動詞,自立,*,*,五段・カ行イ音便,基本形,ザワつく,ザワツク,ザワツク
ザワつか,683,683,9279,動詞,自立,*,*,五段・カ行イ音便,未然形,ザワつく,ザワツカ,ザワツカ
ザワつこ,681,681,9279,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,ザワつく,ザワツコ,ザワツコ
ザワつき,689,689,9279,動詞,自立,*,*,五段・カ行イ音便,連用形,ザワつく,ザワツキ,ザワツキ
ザワつい,687,687,9279,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ザワつく,ザワツイ,ザワツイ
ザワつけ,675,675,9279,動詞,自立,*,*,五段・カ行イ音便,仮定形,ザワつく,ザワツケ,ザワツケ
ザワつけ,685,685,9279,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,ザワつく,ザワツケ,ザワツケ
ザワつきゃ,677,677,9279,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,ザワつく,ザワツキャ,ザワツキャ
コロス,731,731,6379,動詞,自立,*,*,五段・サ行,基本形,コロス,コロス,コロス
コロセ,734,734,6151,動詞,自立,*,*,五段・サ行,命令ｅ,コロセ,コロセ,コロセ
クローン,1285,1285,3000,名詞,一般,*,*,*,*,クローン,クローン,クローン,
モーター,1285,1285,3000,名詞,一般,*,*,*,*,モーター,モーター,モーター,
ソウカイ,1285,1285,6000,名詞,一般,*,*,*,*,ソウカイ,ソウカイ,ソウカイ,
ヨロシ,1285,1285,7000,名詞,一般,*,*,*,*,ヨロシ,ヨロシ,ヨロシ,
ホロ,1285,1285,6000,名詞,一般,*,*,*,*,ホロ,ホロ,ホロ,
アサルト,1285,1285,4000,名詞,一般,*,*,*,*,アサルト,アサルト,アサルト,
リアル,1285,1285,8000,名詞,一般,*,*,*,*,リアル,リアル,リアル,名詞／形容詞／形容動詞に登録、形容詞を最優先
ニンジャ,1285,1285,3000,名詞,一般,*,*,*,*,ニンジャ,ニンジャ,ニンジャ,
アホウ,1285,1285,5000,名詞,一般,*,*,*,*,アホウ,アホウ,アホウ,形容動詞にも登録
ツギハギ,1285,1285,5000,名詞,一般,*,*,*,*,ツギハギ,ツギハギ,ツギハギ,形容動詞にも登録
フシギ,1285,1285,5000,名詞,一般,*,*,*,*,フシギ,フシギ,フシギ,形容動詞にも登録
ワガママ,1285,1285,5000,名詞,一般,*,*,*,*,ワガママ,ワガママ,ワガママ,形容動詞にも登録
アバズレ,1285,1285,6000,名詞,一般,*,*,*,*,アバズレ,アバズレ,アバズレ,形容動詞にも登録
アンヴィヴァレント,1285,1285,1000,名詞,一般,*,*,*,*,アンヴィヴァレント,アンヴィヴァレント,アンヴィヴァレント,形容動詞にも登録
アンビバレント,1285,1285,1000,名詞,一般,*,*,*,*,アンビバレント,アンビバレント,アンビバレント,形容動詞にも登録
イモータル,1285,1285,4000,名詞,一般,*,*,*,*,イモータル,イモータル,イモータル,形容動詞にも登録
エクスプロイット,1285,1285,1000,名詞,一般,*,*,*,*,エクスプロイット,エクスプロイット,エクスプロイット,形容動詞にも登録
エコロ,1285,1285,9000,名詞,一般,*,*,*,*,エコロ,エコロ,エコロ,形容動詞にも登録
からッポ,1285,1285,6000,名詞,一般,*,*,*,*,からッポ,からッポ,からッポ,形容動詞にも登録
ゴアイサツ,1285,1285,4000,名詞,一般,*,*,*,*,ゴアイサツ,ゴアイサツ,ゴアイサツ,形容動詞にも登録
ゴキゲン,1285,1285,6000,名詞,一般,*,*,*,*,ゴキゲン,ゴキゲン,ゴキゲン,形容動詞にも登録
チンケ,1285,1285,9000,名詞,一般,*,*,*,*,チンケ,チンケ,チンケ,形容動詞にも登録
ハイ・テック,1285,1285,3000,名詞,一般,*,*,*,*,ハイ・テック,ハイテック,ハイテック,形容動詞にも登録
バイオレンス,1285,1285,2000,名詞,一般,*,*,*,*,バイオレンス,バイオレンス,バイオレンス,形容動詞にも登録
ハイテック,1285,1285,3000,名詞,一般,*,*,*,*,ハイテック,ハイテック,ハイテック,形容動詞にも登録
ヒゲモジャ,1285,1285,4000,名詞,一般,*,*,*,*,ヒゲモジャ,ヒゲモジャ,ヒゲモジャ,形容動詞にも登録
フクザツ,1285,1285,6000,名詞,一般,*,*,*,*,フクザツ,フクザツ,フクザツ,形容動詞にも登録
ムコウミズ,1285,1285,4000,名詞,一般,*,*,*,*,ムコウミズ,ムコウミズ,ムコウミズ,形容動詞にも登録
ムザン,1285,1285,9000,名詞,一般,*,*,*,*,ムザン,ムザン,ムザン,形容動詞にも登録
ラグジュアリ,1285,1285,2000,名詞,一般,*,*,*,*,ラグジュアリ,ラグジュアリ,ラグジュアリ,形容動詞にも登録
ローテク,1285,1285,6000,名詞,一般,*,*,*,*,ローテク,ローテク,ローテク,形容動詞にも登録
シツレイ,1285,1285,5000,名詞,一般,*,*,*,*,シツレイ,シツレイ,シツレイ,形容動詞にも登録
ボンクラ,1285,1285,5000,名詞,一般,*,*,*,*,ボンクラ,ボンクラ,ボンクラ,形容動詞にも登録
イディオット,1285,1285,3000,名詞,一般,*,*,*,*,イディオット,イディオット,イディオット,形容動詞にも登録
ゴア,1285,1285,15000,名詞,一般,*,*,*,*,ゴア,ゴア,ゴア,形容動詞にも登録
セイシンテキ,1285,1285,3000,名詞,一般,*,*,*,*,セイシンテキ,セイシンテキ,セイシンテキ,形容動詞にも登録
ヘイキンテキ,1285,1285,3000,名詞,一般,*,*,*,*,ヘイキンテキ,ヘイキンテキ,ヘイキンテキ,形容動詞にも登録
ヘイキン・テキ,1285,1285,3000,名詞,一般,*,*,*,*,ヘイキンテキ,ヘイキンテキ,ヘイキンテキ,形容動詞にも登録
チンチン・カモカモ,1285,1285,1000,名詞,一般,*,*,*,*,チンチン・カモカモ,チンチンカモカモ,チンチンカモカモ,形容動詞にも登録
ウカツ,1285,1285,5000,名詞,一般,*,*,*,*,ウカツ,ウカツ,ウカツ,形容動詞にも登録
ヤバレカバレ,1285,1285,1000,名詞,一般,*,*,*,*,ヤバレカバレ,ヤバレカバレ,ヤバレカバレ,形容動詞にも登録
シンピテキ,1285,1285,3000,名詞,一般,*,*,*,*,シンピテキ,シンピテキ,シンピテキ,形容動詞にも登録
イレギュラー,1285,1285,2000,名詞,一般,*,*,*,*,イレギュラー,イレギュラー,イレギュラー,形容動詞にも登録
パンク,1285,1285,5000,名詞,一般,*,*,*,*,パンク,パンク,パンク,形容動詞にも登録
アンパンクチュアル,1285,1285,100,名詞,一般,*,*,*,*,アンパンクチュアル,アンパンクチュアル,アンパンクチュアル,形容動詞にも登録
ブザマ,1285,1285,5000,名詞,一般,*,*,*,*,ブザマ,ブザマ,ブザマ,形容動詞にも登録
アワレ,1285,1285,5000,名詞,一般,*,*,*,*,アワレ,アワレ,アワレ,形容動詞にも登録
サイコ,1285,1285,5000,名詞,一般,*,*,*,*,サイコ,サイコ,サイコ,形容動詞にも登録
クリティカル,1285,1285,3000,名詞,一般,*,*,*,*,クリティカル,クリティカル,クリティカル,形容動詞にも登録
ミニマル,1285,1285,5000,名詞,一般,*,*,*,*,ミニマル,ミニマル,ミニマル,形容動詞にも登録
クソッタレ,1285,1285,5000,名詞,一般,*,*,*,*,クソッタレ,クソッタレ,クソッタレ,形容動詞にも登録
デタラメ,1285,1285,3000,名詞,一般,*,*,*,*,デタラメ,デタラメ,デタラメ,形容動詞にも登録
アンビエント,1285,1285,3000,名詞,一般,*,*,*,*,アンビエント,アンビエント,アンビエント,形容動詞にも登録
コワモテ,1285,1285,5000,名詞,一般,*,*,*,*,コワモテ,コワモテ,コワモテ,形容動詞にも登録
マヌケ,1285,1285,5000,名詞,一般,*,*,*,*,マヌケ,マヌケ,マヌケ,形容動詞にも登録
シアワセ,1285,1285,5000,名詞,一般,*,*,*,*,シアワセ,シアワセ,シアワセ,形容動詞にも登録
【NINJASLAYER】,1285,1285,100,名詞,一般,*,*,*,*,【NINJASLAYER】,アイキャッチ,アイキャッチ,
◆×◆,1285,1285,4000,名詞,一般,*,*,*,*,◆×◆,サキブレ,サキブレ,
◆□◆,1285,1285,4000,名詞,一般,*,*,*,*,◆□◆,サキブレ,サキブレ,
◆○◆,1285,1285,4000,名詞,一般,*,*,*,*,◆○◆,サキブレ,サキブレ,
3D,1285,1285,4000,名詞,一般,*,*,*,*,3D,スリーディー,スリーディー,
３D,1285,1285,4000,名詞,一般,*,*,*,*,3D,スリーディー,スリーディー,
6gates,1285,1285,1000,名詞,一般,*,*,*,*,6gates,シックスゲイツ,シックスゲイツ,
AI,1285,1285,4000,名詞,一般,*,*,*,*,AI,エーアイ,エーアイ,
ASAP,1285,1285,6000,名詞,一般,*,*,*,*,ASAP,エーエスエーピー,エーエスエーピー,
BGM,1285,1285,4000,名詞,一般,*,*,*,*,BGM,ビージーエム,ビージーエム,
CEO,1285,1285,4000,名詞,一般,*,*,*,*,CEO,シーイーオー,シーイーオー,
CM,1285,1285,8000,名詞,一般,*,*,*,*,CM,シーエム,シーエム,
DJ,1285,1285,4000,名詞,一般,*,*,*,*,DJ,ディージェイ,ディージェイ,
ＤＪ,1285,1285,4000,名詞,一般,*,*,*,*,DJ,ディージェイ,ディージェイ,
DNA,1285,1285,4000,名詞,一般,*,*,*,*,DNA,ディーエヌエー,ディーエヌエー,
ＤＮＡ,1285,1285,4000,名詞,一般,*,*,*,*,ＤＮＡ,ディーエヌエー,ディーエヌエー,
Earthquake,1285,1285,1000,名詞,一般,*,*,*,*,Earthquake,アースクエイク,アースクエイク,
famine,1285,1285,1000,名詞,一般,*,*,*,*,famine,フェミン,フェミン,
HQ,1285,1285,4000,名詞,一般,*,*,*,*,エイチキュー,エイチキュー,エイチキュー,
IC,1285,1285,8000,名詞,一般,*,*,*,*,IC,アイシー,アイシー,
ID,1285,1285,4000,名詞,一般,*,*,*,*,ID,アイディー,アイディー,
IP,1285,1285,8000,名詞,一般,*,*,*,*,IP,アイピー,アイピー,
IRC,1285,1285,4000,名詞,一般,*,*,*,*,IRC,アイアールシー,アイアールシー,
ＩＲＣ,1285,1285,4000,名詞,一般,*,*,*,*,IRC,アイアールシー,アイアールシー,
LAN,1285,1285,4000,名詞,一般,*,*,*,*,LAN,ラン,ラン,
LED,1285,1285,4000,名詞,一般,*,*,*,*,LED,エルイーディー,エルイーディー,
ＬＥＤ,1285,1285,4000,名詞,一般,*,*,*,*,LED,エルイーディー,エルイーディー,
MC,1285,1285,4000,名詞,一般,*,*,*,*,MC,エムシー,エムシー,
NN445,1285,1285,4000,名詞,一般,*,*,*,*,NN445,ネヌネヌヨンヨンゴ,ネヌネヌヨンヨンゴ,
NRS,1285,1285,4000,名詞,一般,*,*,*,*,NRS,ニンジャリアリティショック,ニンジャリアリティショック,
ＮＲＳ,1285,1285,4000,名詞,一般,*,*,*,*,NRS,ニンジャリアリティショック,ニンジャリアリティショック,
OJIGI,1285,1285,4000,名詞,一般,*,*,*,*,OJIGI,オジギ,オジギ,
PC,1285,1285,4000,名詞,一般,*,*,*,*,PC,ピーシー,ピーシー,
pestilence,1285,1285,1000,名詞,一般,*,*,*,*,pestilence,ペスティレンス,ペスティレンス,
PING,1285,1285,4000,名詞,一般,*,*,*,*,PING,ピン,ピン,
ping,1285,1285,4000,名詞,一般,*,*,*,*,ping,ピン,ピン,
PONG,1285,1285,4000,名詞,一般,*,*,*,*,PONG,ポン,ポン,
PVC,1285,1285,4000,名詞,一般,*,*,*,*,PVC,ピーブイシー,ピーブイシー,
RPG,1285,1285,4000,名詞,一般,*,*,*,*,RPG,アールピージー,,
SAKIBURE,1285,1285,3000,名詞,一般,*,*,*,*,SAKIBURE,サキブレ,サキブレ,
SP,1285,1285,4000,名詞,一般,*,*,*,*,SP,エスピー,エスピー,
STG,1285,1285,9000,名詞,一般,*,*,*,*,STG,シューティング,シューティング,
TV,1285,1285,4000,名詞,一般,*,*,*,*,TV,テレビ,テレビ,
T字,1285,1285,4000,名詞,一般,*,*,*,*,T字,ティージ,ティージ,
UFO,1285,1285,4000,名詞,一般,*,*,*,*,UFO,ユーエフオー,ユーエフオー,
UNIX,1285,1285,4000,名詞,一般,*,*,*,*,UNIX,ユニックス,ユニックス,
ＵＮＩＸ,1285,1285,4000,名詞,一般,*,*,*,*,UNIX,ユニックス,ユニックス,
UNIXビジョーンモード,1285,1285,100,名詞,一般,*,*,*,*,UNIXビジョーンモード,ユニックスビジョーンモード,ユニックスビジョーンモード,
Uの字,1285,1285,4000,名詞,一般,*,*,*,*,Uの字,ユーノジ,ユーノジ,
VIP,1285,1285,4000,名詞,一般,*,*,*,*,VIP,ビップ,ビップ,
VTOL,1285,1285,4000,名詞,一般,*,*,*,*,VTOL,ブイトール,ブイトール,
war,1285,1285,9000,名詞,一般,*,*,*,*,war,ウォー,ウォー,
WHOIS,1285,1285,4000,名詞,一般,*,*,*,*,WHOIS,フーイズ,フーイズ,
Xの印,1285,1285,4000,名詞,一般,*,*,*,*,Xの印,エックスノシルシ,エックスノシルシ,
X印,1285,1285,4000,名詞,一般,*,*,*,*,X印,エックスジルシ,エックスジルシ,
X字,1285,1285,4000,名詞,一般,*,*,*,*,X字,エックスジ,エックスジ,
X軸,1285,1285,4000,名詞,一般,*,*,*,*,X軸,エックスジク,エックスジク,
Y2K,1285,1285,4000,名詞,一般,*,*,*,*,Y2K,ワイツーケー,ワイツーケー,
Y２K,1285,1285,4000,名詞,一般,*,*,*,*,Y２K,ワイツーケー,ワイツーケー,
Y軸,1285,1285,4000,名詞,一般,*,*,*,*,Y軸,ワイジク,ワイジク,
ZAPライフル,1285,1285,3000,名詞,一般,*,*,*,*,ZAPライフル,ザップライフル,ザップライフル,
ZAP銃,1285,1285,4000,名詞,一般,*,*,*,*,ZAP銃,ザップジュウ,ザップジュウ,
アーキテクト,1285,1285,4000,名詞,一般,*,*,*,*,アーキテクト,アーキテクト,アーキテクト,
アーコロジー,1285,1285,2000,名詞,一般,*,*,*,*,アーコロジー,アーコロジー,アーコロジー,
アーツ,1285,1285,9000,名詞,一般,*,*,*,*,アーツ,アーツ,アーツ,
アーティファクト,1285,1285,1000,名詞,一般,*,*,*,*,アーティファクト,アーティファクト,アーティファクト,
アーマー,1285,1285,6000,名詞,一般,*,*,*,*,アーマー,アーマー,アーマー,
アーミー,1285,1285,6000,名詞,一般,*,*,*,*,アーミー,アーミー,アーミー,
アイアンクロー,1285,1285,3000,名詞,一般,*,*,*,*,アイアンクロー,アイアンクロー,アイアンクロー,
アイキドー,1285,1285,4000,名詞,一般,*,*,*,*,アイキドー,アイキドー,アイキドー,
アイキャッチ,1285,1285,2000,名詞,一般,*,*,*,*,アイキャッチ,アイキャッチ,アイキャッチ,
アイズル,1285,1285,6000,名詞,一般,*,*,*,*,アイズル,アイズル,アイズル,
アイドルデュオ,1285,1285,1000,名詞,一般,*,*,*,*,アイドルデュオ,アイドルデュオ,アイドルデュオ,
アウー・バチゥド,1285,1285,3000,名詞,一般,*,*,*,*,アウー・バチゥド,アウーバチゥド,アウーバチゥド,
アウト・オブ・アモー,1285,1285,2000,名詞,一般,*,*,*,*,アウト・オブ・アモー,アウトオブアモー,アウトオブアモー,
アウトオブアモー,1285,1285,1000,名詞,一般,*,*,*,*,アウトオブアモー,アウトオブアモー,アウトオブアモー,
アウトロ,1285,1285,6000,名詞,一般,*,*,*,*,アウトロ,アウトロ,アウトロ,
アガリ,1285,1285,9000,名詞,一般,*,*,*,*,アガリ,アガリ,アガリ,
アクア,1285,1285,9000,名詞,一般,*,*,*,*,アクア,アクア,アクア,
アクアパッツァ,1285,1285,1000,名詞,一般,*,*,*,*,アクアパッツァ,アクアパッツァ,アクアパッツァ,
アクアリウム,1285,1285,2000,名詞,一般,*,*,*,*,アクアリウム,アクアリウム,アクアリウム,
アクター,1285,1285,6000,名詞,一般,*,*,*,*,アクター,アクター,アクター,
アクマ,1285,1285,5000,名詞,一般,*,*,*,*,アクマ,アクマ,アクマ,
アクロ,1285,1285,9000,名詞,一般,*,*,*,*,アクロ,アクロ,アクロ,
アゴ,1285,1285,9000,名詞,一般,*,*,*,*,アゴ,アゴ,アゴ,
アコモデーション,1285,1285,2000,名詞,一般,*,*,*,*,アコモデーション,アコモデーション,アコモデーション,
アサシン,1285,1285,6000,名詞,一般,*,*,*,*,アサシン,アサシン,アサシン,
アサッテ,1285,1285,6000,名詞,一般,*,*,*,*,アサッテ,アサッテ,アサッテ,
アシガル,1285,1285,6000,名詞,一般,*,*,*,*,アシガル,アシガル,アシガル,
アジテーション,1285,1285,4000,名詞,一般,*,*,*,*,アジテーション,アジテーション,アジテーション,
アジテーター,1285,1285,4000,名詞,一般,*,*,*,*,アジテーター,アジテーター,アジテーター,
アジノリ,1285,1285,6000,名詞,一般,*,*,*,*,アジノリ,アジノリ,アジノリ,
アスリート,1285,1285,5000,名詞,一般,*,*,*,*,アスリート,アスリート,アスリート,
アセンション,1285,1285,4000,名詞,一般,*,*,*,*,アセンション,アセンション,アセンション,
アソビ,1285,1285,5000,名詞,一般,*,*,*,*,アソビ,アソビ,アソビ,
アタリ,1285,1285,5000,名詞,一般,*,*,*,*,アタリ,アタリ,アタリ,
アチーブメント,1285,1285,1000,名詞,一般,*,*,*,*,アチーブメント,アチーブメント,アチーブメント,
アックスソード,1285,1285,4000,名詞,一般,*,*,*,*,アックスソード,アックスソード,アックスソード,
アテイスト,1285,1285,4000,名詞,一般,*,*,*,*,アテイスト,アテイスト,アテイスト,
アティチュード,1285,1285,4000,名詞,一般,*,*,*,*,アティチュード,アティチュード,アティチュード,
アティテュード,1285,1285,1000,名詞,一般,*,*,*,*,アティテュード,アティテュード,アティテュード,
アデプト,1285,1285,5000,名詞,一般,*,*,*,*,アデプト,アデプト,アデプト,
アドバイザ,1285,1285,4000,名詞,一般,*,*,*,*,アドバイザ,アドバイザ,アドバイザ,
アドバンス・ショウギ,1285,1285,2000,名詞,一般,*,*,*,*,アドバンスド・ショーギ,アドバンスドショーギ,アドバンスドショーギ,
アドバンスド・ショウギ,1285,1285,100,名詞,一般,*,*,*,*,アドバンスド・ショウギ,アドバンスドショウギ,アドバンスドショウギ,
アドバンスド・ショーギ,1285,1285,100,名詞,一般,*,*,*,*,アドバンスド・ショーギ,アドバンスドショーギ,アドバンスドショーギ,
アドミニストレーター,1285,1285,2000,名詞,一般,*,*,*,*,アドミニストレーター,アドミニストレーター,アドミニストレーター,
アトモスフィア,1285,1285,3000,名詞,一般,*,*,*,*,アトモスフィア,アトモスフィア,アトモスフィア,
アトロシティ,1285,1285,2000,名詞,一般,*,*,*,*,アトロシティ,アトロシティ,アトロシティ,
アナキスト,1285,1285,4000,名詞,一般,*,*,*,*,アナキスト,アナキスト,アナキスト,
アナコンダ,1285,1285,5000,名詞,一般,*,*,*,*,アナコンダ,アナコンダ,アナコンダ,
アナフィラキシー・ショック,1285,1285,100,名詞,一般,*,*,*,*,アナフィラキシー・ショック,アナフィラキシーショック,アナフィラキシーショック,
アナフィラキシーショック,1285,1285,100,名詞,一般,*,*,*,*,アナフィラキシーショック,アナフィラキシーショック,アナフィラキシーショック,
アニキ,1285,1285,5000,名詞,一般,*,*,*,*,アニキ,アニキ,アニキ,
アニマル,1285,1285,5000,名詞,一般,*,*,*,*,アニマル,アニマル,アニマル,
アバラ,1285,1285,9000,名詞,一般,*,*,*,*,アバラ,アバラ,アバラ,
アビ・インフェルノ,1285,1285,1000,名詞,一般,*,*,*,*,アビ・インフェルノ,アビインフェルノ,アビインフェルノ,
アブハチトラズ,1285,1285,1000,名詞,一般,*,*,*,*,アブハチトラズ,アブハチトラズ,アブハチトラズ,
アフリカ投げナイフ,1285,1285,3000,名詞,一般,*,*,*,*,アフリカ投げナイフ,アフリカナゲナイフ,アフリカナゲナイフ,
アブリダシ,1285,1285,4000,名詞,一般,*,*,*,*,アブリダシ,アブリダシ,アブリダシ,
アプレンティス,1285,1285,3000,名詞,一般,*,*,*,*,アプレンティス,アプレンティス,アプレンティス,
アフロ,1285,1285,5000,名詞,一般,*,*,*,*,アフロ,アフロ,アフロ,
アフロヘアー,1285,1285,4000,名詞,一般,*,*,*,*,アフロヘアー,アフロヘアー,アフロヘアー,
アペタイザー,1285,1285,2000,名詞,一般,*,*,*,*,アペタイザー,アペタイザー,アペタイザー,
アマザケ,1285,1285,6000,名詞,一般,*,*,*,*,アマザケ,アマザケ,アマザケ,
アミーゴハット,1285,1285,1000,名詞,一般,*,*,*,*,アミーゴハット,アミーゴハット,アミーゴハット,
アミュレット,1285,1285,4000,名詞,一般,*,*,*,*,アミュレット,アミュレット,アミュレット,
アメフト,1285,1285,5000,名詞,一般,*,*,*,*,アメフト,アメフト,アメフト,
アメリカン・ニューシネマ,1285,1285,100,名詞,一般,*,*,*,*,アメリカン・ニューシネマ,アメリカンニューシネマ,アメリカンニューシネマ,
